strategy_types,lookback_period,rsi_window,ma_window,rebalance_period,num_stocks,portfolio_type,combine_method,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,strategy_name
"['momentum', 'rsi', 'ma_crossover']",63,10,100,21,3,long_short,and,0.2071416966257189,0.03284415279801922,0.06889496620563833,0.4767279034579347,-0.1039000987861537,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",126,14,100,21,10,long_short,and,0.34580144821620973,0.053271583546620205,0.11176999476137428,0.47661793006569875,-0.16358956459136187,"momentum, ma_crossover (AND)"
"['momentum', 'ma_crossover']",126,14,20,21,5,long,or,0.6261858773748781,0.08868822945736787,0.18619853421218088,0.47631003021916374,-0.25861690401165227,"momentum, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,21,50,21,10,long_short,and,0.21132540749558282,0.037393595641579624,0.0785141466054918,0.4762657082610902,-0.11694264180336034,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,5,50,5,3,long_short,and,0.0836429183744527,0.013424465391377316,0.02820085283502025,0.47603047574173396,-0.05843069496096498,"rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",126,14,100,42,3,long,or,1.077975526126056,0.13634440444823426,0.28646968262363387,0.4759470642740391,-0.4103047192163045,"momentum, ma_crossover (OR)"
"['momentum', 'ma_crossover']",252,14,20,5,5,long,and,0.6191980584867056,0.09667695746972371,0.20313508218595375,0.47592447562171347,-0.37054942658312373,"momentum, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,21,50,42,5,long,and,0.8344223202089367,0.12320057663206385,0.25888973251182146,0.4758805049421504,-0.36364484537784936,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,5,50,5,10,long_short,or,0.037502963088519525,0.006130600351043514,0.01289376622939891,0.4754701025263829,-0.028032421124947304,"rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",63,14,10,21,3,long_short,and,0.4333734288390554,0.062138375535593315,0.13069602457863833,0.47544197106167796,-0.23462353388667045,"momentum, ma_crossover (AND)"
"['momentum', 'ma_crossover']",21,14,20,5,5,long_short,or,0.15190638790648126,0.023303853549603515,0.04902025670288905,0.47539231976788243,-0.0671834958034423,"momentum, ma_crossover (OR)"
['ma_crossover'],252,14,100,10,3,long_short,and,0.39987672066758684,0.059444191110469724,0.12504260221436536,0.4753915070366358,-0.2378445751136985,ma_crossover
