strategy_types,lookback_period,rsi_window,ma_window,rebalance_period,num_stocks,portfolio_type,combine_method,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,strategy_name
"['momentum', 'rsi']",126,14,50,42,5,long_short,or,0.2851958560105885,0.04482410002921888,0.09859138948487416,0.4546451801056701,-0.21117714490810036,"momentum, rsi (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,10,20,42,3,long_short,or,0.5906879552306727,0.09295273593381737,0.20469599755868345,0.4541013846993717,-0.37294998298939785,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi']",63,5,50,21,5,long,and,0.5875104810916096,0.08045917343796916,0.17718624594351973,0.4540937870742885,-0.3143938639329108,"momentum, rsi (AND)"
['ma_crossover'],252,14,20,5,3,long_short,and,0.14924441973766633,0.022903294461487977,0.05043937293390321,0.4540757176244226,-0.07697031643682894,ma_crossover
"['momentum', 'rsi', 'ma_crossover']",126,14,100,21,3,long_short,or,0.34518724356248165,0.05318756221539567,0.1172044384059563,0.4538016046045291,-0.20332335304834026,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,10,10,21,5,long_short,and,0.2051226796588026,0.03173467054967105,0.06994944971713249,0.4536800600719863,-0.13363885412329068,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,5,20,10,3,long,or,0.4861370998641774,0.06858693082081713,0.1512516204086855,0.45346245306657607,-0.2580709645687661,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,5,20,10,3,long_short,or,0.14938067073029582,0.022923035494768484,0.05057283456343824,0.4532677610944266,-0.10069868236139623,"rsi, ma_crossover (OR)"
"['momentum', 'rsi']",252,21,50,5,10,long,or,0.24553821638239182,0.04294129132592883,0.09480882891710976,0.45292502624910486,-0.213519392756093,"momentum, rsi (OR)"
"['momentum', 'rsi', 'ma_crossover']",21,14,50,5,3,long_short,or,0.10082942831505837,0.016075208319088263,0.03549669641512856,0.4528649125848531,-0.06838947165337006,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",126,21,100,10,3,long_short,and,0.23467693346566132,0.037527488592008273,0.0828733996076302,0.452829119713741,-0.146772625411282,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,14,20,5,10,long,and,0.47083892072246925,0.07668072089516165,0.1693548223425497,0.452781443330037,-0.2917141780371627,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,10,100,42,10,long,and,0.7064962215898611,0.097898259729438,0.21622246266253864,0.45276637091230043,-0.35392252226635934,"momentum, rsi, ma_crossover (AND)"
